benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1,accuracy,sae_type,l0_target,k,widths,max_iterations,l1_coefficient
HIERARCHICAL_PAIRS,BatchTopK_1,0,8.01479,3.00876,0.12808641975308643,0.8663731501110185,0.7943809137070355,0.7764569520950317,0.9583333333333334,0.8649689555168152,0.5443388223648071,0.6646189093589783,0.9910995960235596,BatchTopK,,3.0,,,
HIERARCHICAL_PAIRS,BatchTopK_2,0,7.99983,3.98751,0.0,0.915785359818622,0.8738031169431622,0.8577208518981934,0.9691358024691358,0.9816768169403076,0.7110097408294678,0.8158121705055237,0.9956883788108826,BatchTopK,,4.0,,,
HIERARCHICAL_PAIRS,BatchTopK_3,0,7.99077,4.98255,0.0,0.9704255926967704,0.8962829794191683,0.8582310676574707,0.9783950617283952,0.8983381986618042,0.780481219291687,0.8304119110107422,0.996283233165741,BatchTopK,,5.0,,,
HIERARCHICAL_PAIRS,BatchTopK_4,0,8.02936,6.02031,0.0,0.9562214836769932,0.908633524129685,0.8563229441642761,0.976851851851852,0.7838580012321472,0.8157339096069336,0.7940482497215271,0.9958051443099976,BatchTopK,,6.0,,,
HIERARCHICAL_PAIRS,BatchTopK_5,0,7.99049,6.95774,0.0,0.980860061787311,0.9160284512479868,0.8456457853317261,0.9814814814814816,0.7005142569541931,0.8229458928108215,0.7496339678764343,0.9953958988189696,BatchTopK,,7.0,,,
HIERARCHICAL_PAIRS,BatchTopK_6,0,8.017,8.04498,0.0,0.9381842389994578,0.91944296138104,0.8397608399391174,0.9737654320987654,0.6182184219360352,0.8299463391304016,0.6988085508346558,0.9938027858734132,BatchTopK,,8.0,,,
HIERARCHICAL_PAIRS,BatchTopK_7,0,8.03385,9.04565,0.0,0.9552016997800256,0.9210053418261432,0.8361124992370605,0.9675925925925926,0.581087589263916,0.8346718549728394,0.6756156086921692,0.9924720525741576,BatchTopK,,9.0,,,
HIERARCHICAL_PAIRS,BatchTopK_8,0,8.00637,9.9753,0.0,0.9598263843541855,0.9242002691796988,0.8306503295898438,0.970679012345679,0.5589038133621216,0.8363977074623108,0.6580292582511902,0.9913190007209778,BatchTopK,,10.0,,,
HIERARCHICAL_PAIRS,BatchTopK_9,0,8.03194,10.97528,0.0,0.9642879340739924,0.9267753013266332,0.8292394876480103,0.9691358024691358,0.5383815169334412,0.8355484008789062,0.6420750021934509,0.9897589087486268,BatchTopK,,11.0,,,
POWER_LAW_DIGRAPH,BatchTopK_0,0,7.93387,1.99954,0.0,0.6226827101005261,0.5293470672001014,0.951604425907135,1.0,0.9970138669013976,0.4193303287029266,0.5886186361312866,0.9956141114234924,BatchTopK,,2.0,,,
POWER_LAW_DIGRAPH,BatchTopK_1,0,7.97634,3.004,0.0,0.7254739166709125,0.6286166117524106,0.9650757312774658,1.0,0.9871152639389038,0.6032677888870239,0.7480238676071167,0.9969019293785096,BatchTopK,,3.0,,,
POWER_LAW_DIGRAPH,BatchTopK_2,0,7.94993,3.98176,0.0,0.7649517144428825,0.6786676545279546,0.9457173347473145,1.0,0.9025702476501464,0.7162611484527588,0.795628011226654,0.9972133636474608,BatchTopK,,4.0,,,
POWER_LAW_DIGRAPH,BatchTopK_3,0,7.94303,4.98609,0.0,0.775452162687495,0.7018288371232979,0.9304684400558472,1.0,0.7866653203964233,0.767846941947937,0.7711216807365417,0.9965226054191588,BatchTopK,,5.0,,,
POWER_LAW_DIGRAPH,BatchTopK_4,0,7.95994,5.98996,0.0,0.7772666979969026,0.7113785568969131,0.919915735721588,1.0,0.6790477633476257,0.7929650545120239,0.7240651249885559,0.9953799843788148,BatchTopK,,6.0,,,
POWER_LAW_DIGRAPH,BatchTopK_5,0,7.95533,6.97175,0.0,0.7793883341231261,0.7197027905957512,0.915509819984436,1.0,0.5967404246330261,0.8099648952484131,0.679013729095459,0.9941208362579346,BatchTopK,,7.0,,,
POWER_LAW_DIGRAPH,BatchTopK_6,0,7.98995,8.0533,0.0,0.779176896355005,0.7286927461792272,0.9166197776794434,1.0,0.5344212651252747,0.8228928446769714,0.6399068832397461,0.9927285313606262,BatchTopK,,8.0,,,
POWER_LAW_DIGRAPH,BatchTopK_7,0,7.96562,8.97887,0.0,0.7804377463737853,0.7348333331165716,0.9160593152046204,1.0,0.4854640364646911,0.8316741585731506,0.6044911742210388,0.991422176361084,BatchTopK,,9.0,,,
POWER_LAW_DIGRAPH,BatchTopK_8,0,7.9368,9.93979,0.0,0.7799773481985515,0.7394163719164537,0.9143900871276855,1.0,0.4474012553691864,0.8373218178749084,0.574596643447876,0.9900173544883728,BatchTopK,,10.0,,,
POWER_LAW_DIGRAPH,BatchTopK_9,0,7.9619,11.02776,0.0,0.7803459974805314,0.7442757398259016,0.9112207889556884,1.0,0.411975622177124,0.841846227645874,0.5442997813224792,0.9884255528450012,BatchTopK,,11.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_0,0,8.0,1.99492,0.0,0.849439921875,0.72165407404806,0.54405277967453,0.925925925925926,0.7828661203384399,0.3393913209438324,0.4641490578651428,0.9943406581878662,BatchTopK,,2.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_1,0,8.0,2.99593,0.0,0.874775,0.765198567108729,0.7713408470153809,0.9984567901234568,0.8626598715782166,0.5095820426940918,0.6373854279518127,0.9956536889076232,BatchTopK,,3.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_2,0,8.0,4.00028,0.0,0.89335015625,0.7968760313672125,0.8298140168190002,0.9969135802469136,0.8384095430374146,0.6455385088920593,0.72346431016922,0.9962441921234132,BatchTopK,,4.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_3,0,8.0,5.00021,0.0,0.904458046875,0.8146026657368556,0.819298267364502,0.9969135802469136,0.7644088864326477,0.7247651815414429,0.7319059371948242,0.995954155921936,BatchTopK,,5.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_4,0,8.0,5.98615,0.0,0.911958125,0.8283100112414943,0.8167922496795654,0.992283950617284,0.7036048769950867,0.7824704647064209,0.7237367630004883,0.9953436851501464,BatchTopK,,6.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_5,0,8.0,6.99555,0.0,0.917092890625,0.8369706422536412,0.8031671047210693,0.9953703703703703,0.6356187462806702,0.821203351020813,0.6981785297393799,0.994395673274994,BatchTopK,,7.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_6,0,8.0,7.99477,0.0,0.920769140625,0.8433837859698464,0.785675585269928,0.9830246913580248,0.5748967528343201,0.8462264537811279,0.665435254573822,0.9932202696800232,BatchTopK,,8.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_7,0,8.0,9.00763,0.0,0.92277640625,0.8480424019884931,0.7601119875907898,0.984567901234568,0.5108340382575989,0.8609416484832764,0.6230319142341614,0.991844356060028,BatchTopK,,9.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_8,0,8.0,10.00292,0.0,0.92524984375,0.8524157988515697,0.7497040629386902,0.970679012345679,0.4682200849056244,0.8701058030128479,0.591917872428894,0.9904711842536926,BatchTopK,,10.0,,,
SIMPLICIAL_COMPLEX,BatchTopK_9,0,8.0,11.00713,0.0,0.92685375,0.8552850640698033,0.7310681939125061,0.9691358024691358,0.4244707822799682,0.8819297552108765,0.5578707456588745,0.9890521764755248,BatchTopK,,11.0,,,
SPARSE_UNIFORM,BatchTopK_0,0,8.02865,2.00294,0.0787037037037037,0.6856092501325252,0.515359846012674,0.9387603402137756,0.9737654320987654,0.9212867617607116,0.3501787185668945,0.5044662356376648,0.9890753626823424,BatchTopK,,2.0,,,
SPARSE_UNIFORM,BatchTopK_1,0,8.03176,2.99524,0.027777777777777776,0.7855527978226516,0.6514519914222694,0.979406476020813,0.9938271604938272,0.9719340205192566,0.4980268478393554,0.657827615737915,0.9918196797370912,BatchTopK,,3.0,,,
SPARSE_UNIFORM,BatchTopK_2,0,8.02549,3.99629,0.0,0.8454576267902149,0.734344979826082,0.9983263611793518,1.0,0.9972990155220032,0.644315242767334,0.7823938727378845,0.9960705637931824,BatchTopK,,4.0,,,
SPARSE_UNIFORM,BatchTopK_3,0,8.04275,4.99485,0.0,0.8704186607955512,0.771741975421564,0.998486578464508,1.0,0.9487056732177734,0.7504631280899048,0.8374599814414978,0.9972521662712096,BatchTopK,,5.0,,,
