benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,k,widths
POWER_LAW_DIGRAPH,Matryoshka_4,0,7.95994,5.97549,0,0.7926345926559889,0.6943014848851297,0.9123243093490601,1.0,0.6886158585548401,0.7805562615394592,0.7194923162460327,0.9952032566070557,Matryoshka,6,3-level
POWER_LAW_DIGRAPH,Matryoshka_5,0,7.95533,6.9725,0,0.7959306721136894,0.7007152579025717,0.9094889163970947,0.9984567901234568,0.6256353855133057,0.7949613332748413,0.6837201714515686,0.9938932657241821,Matryoshka,7,3-level
POWER_LAW_DIGRAPH,Matryoshka_6,0,7.98995,8.06336,0,0.7933268952089403,0.7044686589543427,0.9018793702125549,0.9984567901234568,0.5721492767333984,0.8020300269126892,0.647853672504425,0.9923614859580994,Matryoshka,8,3-level
POWER_LAW_DIGRAPH,Matryoshka_7,0,7.96562,8.97938,0,0.794272477947318,0.7069108480045937,0.9003793001174927,0.9984567901234568,0.5438365936279297,0.8096173405647278,0.6268011927604675,0.9910445809364319,Matryoshka,9,3-level
POWER_LAW_DIGRAPH,Matryoshka_8,0,7.9368,9.93643,0,0.7945826828951523,0.7085417341429197,0.8919781446456909,0.9922839506172839,0.5209924578666687,0.8111616373062134,0.6063877940177917,0.9895974397659302,Matryoshka,10,3-level
POWER_LAW_DIGRAPH,Matryoshka_9,0,7.9619,11.01702,0,0.795516650124701,0.7121553866735162,0.8908843398094177,0.9969135802469136,0.4982881546020508,0.8133223652839661,0.5879485011100769,0.9879864454269409,Matryoshka,11,3-level
SIMPLICIAL_COMPLEX,Matryoshka_0,0,8.0,1.99942,88,0.826825625,0.6599393262375751,0.5857352018356323,0.9351851851851852,0.7666234970092773,0.3478451371192932,0.46939530968666077,0.9949544072151184,Matryoshka,2,3-level
SIMPLICIAL_COMPLEX,Matryoshka_1,0,8.0,2.99501,0,0.883843203125,0.7365352053082637,0.7831709384918213,0.9984567901234568,0.9003068804740906,0.5201458930969238,0.6486716270446777,0.9959325194358826,Matryoshka,3,3-level
SIMPLICIAL_COMPLEX,Matryoshka_2,0,8.0,4.00605,0,0.90107359375,0.7624338465644258,0.8132429122924805,0.9984567901234568,0.856826663017273,0.642464280128479,0.7192620635032654,0.9963802099227905,Matryoshka,4,3-level
SIMPLICIAL_COMPLEX,Matryoshka_3,0,8.0,4.99921,0,0.90908828125,0.7744682323279042,0.7861607670783997,0.9922839506172839,0.7715028524398804,0.6947797536849976,0.7093702554702759,0.9957119226455688,Matryoshka,5,3-level
SIMPLICIAL_COMPLEX,Matryoshka_4,0,8.0,5.99298,0,0.911859453125,0.7814641751765795,0.7577011585235596,0.9722222222222222,0.695848286151886,0.7228282690048218,0.6821582913398743,0.9946188926696777,Matryoshka,6,3-level
SIMPLICIAL_COMPLEX,Matryoshka_5,0,8.0,6.98109,0,0.9134890625,0.7862218634036627,0.7438009977340698,0.9691358024691358,0.6260913014411926,0.7443698644638062,0.6504600644111633,0.9933796525001526,Matryoshka,7,3-level
SIMPLICIAL_COMPLEX,Matryoshka_6,0,8.0,8.02184,0,0.91607640625,0.7900809207036316,0.7278560996055603,0.970679012345679,0.5704330801963806,0.7568458318710327,0.6168256402015686,0.9919737577438354,Matryoshka,8,3-level
SIMPLICIAL_COMPLEX,Matryoshka_7,0,8.0,8.96598,0,0.916173515625,0.7928997052192661,0.7132178544998169,0.9552469135802469,0.5265636444091797,0.7609292268753052,0.5885569453239441,0.9905692338943481,Matryoshka,9,3-level
SIMPLICIAL_COMPLEX,Matryoshka_8,0,8.0,9.98585,0,0.916734765625,0.7946523436017726,0.6855150461196899,0.9305555555555556,0.48398420214653015,0.7537041902542114,0.5542330145835876,0.9888802170753479,Matryoshka,10,3-level
SIMPLICIAL_COMPLEX,Matryoshka_9,0,8.0,11.00049,0,0.91797046875,0.7955846864049761,0.6786717772483826,0.9243827160493827,0.45940425992012024,0.7585757374763489,0.5339576601982117,0.9873161911964417,Matryoshka,11,3-level
SPARSE_UNIFORM,Matryoshka_0,0,8.02865,2.00285,79,0.6859536124363629,0.5117242325322662,0.9027824997901917,0.9490740740740741,0.8765266537666321,0.33106714487075806,0.47588422894477844,0.9887288212776184,Matryoshka,2,3-level
SPARSE_UNIFORM,Matryoshka_1,0,8.03176,2.99118,20,0.7883219908935429,0.6524422211352334,0.9764313697814941,0.9953703703703703,0.9690492153167725,0.49330347776412964,0.653048038482666,0.9932863116264343,Matryoshka,3,3-level
SPARSE_UNIFORM,Matryoshka_2,0,8.02549,3.99912,0,0.8501907728927471,0.7369086611223387,0.9980226755142212,1.0,0.997615396976471,0.6425925493240356,0.7811847925186157,0.996026337146759,Matryoshka,4,3-level
