benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,k
HIERARCHICAL_PAIRS,BatchTopK_7,0,8.03385,9.04565,0,0.9552016997800256,0.9210053418261431,0.8361124992370605,0.9675925925925926,0.581087589263916,0.8346718549728394,0.6756156086921692,0.9924720525741577,BatchTopK,9
HIERARCHICAL_PAIRS,BatchTopK_8,0,8.00637,9.9753,0,0.9598263843541857,0.9242002691796987,0.8306503295898438,0.970679012345679,0.5589038133621216,0.8363977074623108,0.6580292582511902,0.9913190007209778,BatchTopK,10
HIERARCHICAL_PAIRS,BatchTopK_9,0,8.03194,10.97528,0,0.9642879340739923,0.9267753013266333,0.8292394876480103,0.9691358024691358,0.5383815169334412,0.8355484008789062,0.6420750021934509,0.9897589087486267,BatchTopK,11
POWER_LAW_DIGRAPH,BatchTopK_0,0,7.93387,1.99954,0,0.6226827101005261,0.5293470672001014,0.951604425907135,1.0,0.9970138669013977,0.41933032870292664,0.5886186361312866,0.9956141114234924,BatchTopK,2
POWER_LAW_DIGRAPH,BatchTopK_1,0,7.97634,3.004,0,0.7254739166709125,0.6286166117524106,0.9650757312774658,1.0,0.9871152639389038,0.6032677888870239,0.7480238676071167,0.9969019293785095,BatchTopK,3
POWER_LAW_DIGRAPH,BatchTopK_2,0,7.94993,3.98176,0,0.7649517144428825,0.6786676545279546,0.9457173347473145,1.0,0.9025702476501465,0.7162611484527588,0.795628011226654,0.9972133636474609,BatchTopK,4
POWER_LAW_DIGRAPH,BatchTopK_3,0,7.94303,4.98609,0,0.775452162687495,0.7018288371232979,0.9304684400558472,1.0,0.7866653203964233,0.767846941947937,0.7711216807365417,0.9965226054191589,BatchTopK,5
POWER_LAW_DIGRAPH,BatchTopK_4,0,7.95994,5.98996,0,0.7772666979969026,0.7113785568969131,0.9199157357215881,1.0,0.6790477633476257,0.7929650545120239,0.7240651249885559,0.9953799843788147,BatchTopK,6
POWER_LAW_DIGRAPH,BatchTopK_5,0,7.95533,6.97175,0,0.7793883341231261,0.7197027905957512,0.915509819984436,1.0,0.5967404246330261,0.8099648952484131,0.679013729095459,0.9941208362579346,BatchTopK,7
POWER_LAW_DIGRAPH,BatchTopK_6,0,7.98995,8.0533,0,0.779176896355005,0.7286927461792272,0.9166197776794434,1.0,0.5344212651252747,0.8228928446769714,0.6399068832397461,0.9927285313606262,BatchTopK,8
POWER_LAW_DIGRAPH,BatchTopK_7,0,7.96562,8.97887,0,0.7804377463737853,0.7348333331165716,0.9160593152046204,1.0,0.48546403646469116,0.8316741585731506,0.6044911742210388,0.991422176361084,BatchTopK,9
POWER_LAW_DIGRAPH,BatchTopK_8,0,7.9368,9.93979,0,0.7799773481985515,0.7394163719164537,0.9143900871276855,1.0,0.4474012553691864,0.8373218178749084,0.574596643447876,0.9900173544883728,BatchTopK,10
POWER_LAW_DIGRAPH,BatchTopK_9,0,7.9619,11.02776,0,0.7803459974805314,0.7442757398259016,0.9112207889556885,1.0,0.411975622177124,0.841846227645874,0.5442997813224792,0.9884255528450012,BatchTopK,11
SIMPLICIAL_COMPLEX,BatchTopK_0,0,8.0,1.99492,0,0.849439921875,0.72165407404806,0.54405277967453,0.9259259259259259,0.7828661203384399,0.3393913209438324,0.4641490578651428,0.9943406581878662,BatchTopK,2
SIMPLICIAL_COMPLEX,BatchTopK_1,0,8.0,2.99593,0,0.874775,0.765198567108729,0.7713408470153809,0.9984567901234568,0.8626598715782166,0.5095820426940918,0.6373854279518127,0.9956536889076233,BatchTopK,3
SIMPLICIAL_COMPLEX,BatchTopK_2,0,8.0,4.00028,0,0.89335015625,0.7968760313672125,0.8298140168190002,0.9969135802469136,0.8384095430374146,0.6455385088920593,0.72346431016922,0.9962441921234131,BatchTopK,4
SIMPLICIAL_COMPLEX,BatchTopK_3,0,8.0,5.00021,0,0.904458046875,0.8146026657368556,0.819298267364502,0.9969135802469136,0.7644088864326477,0.7247651815414429,0.7319059371948242,0.995954155921936,BatchTopK,5
SIMPLICIAL_COMPLEX,BatchTopK_4,0,8.0,5.98615,0,0.911958125,0.8283100112414943,0.8167922496795654,0.9922839506172839,0.7036048769950867,0.7824704647064209,0.7237367630004883,0.9953436851501465,BatchTopK,6
SIMPLICIAL_COMPLEX,BatchTopK_5,0,8.0,6.99555,0,0.917092890625,0.8369706422536412,0.8031671047210693,0.9953703703703703,0.6356187462806702,0.821203351020813,0.6981785297393799,0.9943956732749939,BatchTopK,7
SIMPLICIAL_COMPLEX,BatchTopK_6,0,8.0,7.99477,0,0.920769140625,0.8433837859698464,0.785675585269928,0.9830246913580247,0.5748967528343201,0.8462264537811279,0.665435254573822,0.9932202696800232,BatchTopK,8
SIMPLICIAL_COMPLEX,BatchTopK_7,0,8.0,9.00763,0,0.92277640625,0.8480424019884931,0.7601119875907898,0.9845679012345679,0.5108340382575989,0.8609416484832764,0.6230319142341614,0.9918443560600281,BatchTopK,9
SIMPLICIAL_COMPLEX,BatchTopK_8,0,8.0,10.00292,0,0.92524984375,0.8524157988515697,0.7497040629386902,0.970679012345679,0.4682200849056244,0.8701058030128479,0.591917872428894,0.9904711842536926,BatchTopK,10
SIMPLICIAL_COMPLEX,BatchTopK_9,0,8.0,11.00713,0,0.92685375,0.8552850640698033,0.7310681939125061,0.9691358024691358,0.42447078227996826,0.8819297552108765,0.5578707456588745,0.9890521764755249,BatchTopK,11
SPARSE_UNIFORM,BatchTopK_0,0,8.02865,2.00294,51,0.6856092501325252,0.515359846012674,0.9387603402137756,0.9737654320987654,0.9212867617607117,0.35017871856689453,0.5044662356376648,0.9890753626823425,BatchTopK,2
SPARSE_UNIFORM,BatchTopK_1,0,8.03176,2.99524,18,0.7855527978226516,0.6514519914222694,0.979406476020813,0.9938271604938271,0.9719340205192566,0.49802684783935547,0.657827615737915,0.9918196797370911,BatchTopK,3
SPARSE_UNIFORM,BatchTopK_2,0,8.02549,3.99629,0,0.8454576267902149,0.734344979826082,0.9983263611793518,1.0,0.9972990155220032,0.644315242767334,0.7823938727378845,0.9960705637931824,BatchTopK,4
SPARSE_UNIFORM,BatchTopK_3,0,8.04275,4.99485,0,0.8704186607955512,0.771741975421564,0.9984865784645081,1.0,0.9487056732177734,0.7504631280899048,0.8374599814414978,0.9972521662712097,BatchTopK,5
SPARSE_UNIFORM,BatchTopK_4,0,8.0294,5.972,0,0.8788017020223235,0.787961536322167,0.994636058807373,0.9891975308641975,0.8221304416656494,0.7755609750747681,0.7950799465179443,0.9961697459220886,BatchTopK,6
SPARSE_UNIFORM,BatchTopK_5,0,8.00427,6.95259,0,0.8852322566287595,0.8030429129738744,0.9804279804229736,0.970679012345679,0.7062135934829712,0.7760098576545715,0.7322311997413635,0.9945324659347534,BatchTopK,7
SPARSE_UNIFORM,BatchTopK_6,0,8.02469,8.02364,0,0.8916988544302531,0.8154053536375816,0.9681499004364014,0.9567901234567902,0.6221103668212891,0.7705532312393188,0.6774246096611023,0.9929479956626892,BatchTopK,8
SPARSE_UNIFORM,BatchTopK_7,0,8.04002,9.02914,0,0.8960179909089091,0.8240324055837505,0.9548159241676331,0.9490740740740741,0.569144606590271,0.7660154700279236,0.6380560398101807,0.9914612174034119,BatchTopK,9
SPARSE_UNIFORM,BatchTopK_8,0,8.02932,10.00352,0,0.8976294019543127,0.8285921735678974,0.9427926540374756,0.9382716049382716,0.5269970893859863,0.7602224946022034,0.604568600654602,0.9897571206092834,BatchTopK,10
SPARSE_UNIFORM,BatchTopK_9,0,8.03574,10.99673,0,0.9009617548509702,0.8358740578294873,0.9357627630233765,0.9320987654320988,0.5065920352935791,0.7584973573684692,0.5887903571128845,0.9884148836135864,BatchTopK,11
SPHERICAL,BatchTopK_0,0,8.08018,1.99969,100,0.8262675880560115,0.8150063992217843,0.6897332668304443,0.9027777777777778,0.8017174005508423,0.4680803120136261,0.5891116261482239,0.9965175986289978,BatchTopK,2
SPHERICAL,BatchTopK_1,0,8.06349,2.98704,0,0.8964667222172177,0.8882437729535315,0.8021281957626343,1.0,0.9120046496391296,0.6707947254180908,0.7705415487289429,0.9975131154060364,BatchTopK,3
SPHERICAL,BatchTopK_2,0,8.04369,3.98388,0,0.907204294583692,0.9054836037612505,0.7978440523147583,1.0,0.807636022567749,0.7864248752593994,0.7930590510368347,0.9974086284637451,BatchTopK,4
SPHERICAL,BatchTopK_3,0,8.05726,5.00882,0,0.9066679346520381,0.912551760747526,0.7928670048713684,1.0,0.6980899572372437,0.8473055958747864,0.7607256770133972,0.9965894818305969,BatchTopK,5
