benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,l1_coefficient
CORRELATED_PAIRS,Standard_4,0,8.00883,10.11019,0,0.6541666405072828,0.6246856310400026,0.5938206315040588,0.5509259259259259,0.8758348226547241,0.5825663208961487,0.6403806805610657,0.968706488609314,Standard,0.5
CORRELATED_PAIRS,Standard_5,0,8.04799,9.3819,0,0.9634634331542749,0.5760165001677561,0.564956545829773,0.48919753086419754,0.8992654085159302,0.5249646902084351,0.6037424206733704,0.9666177034378052,Standard,0.55
CORRELATED_PAIRS,Standard_6,0,8.03313,8.58622,0,0.9293193290382146,0.54745524785007,0.562395453453064,0.4583333333333333,0.9216480255126953,0.48630815744400024,0.5831315517425537,0.9664087891578674,Standard,0.6
CORRELATED_PAIRS,Standard_7,0,8.02581,7.82374,0,0.5857217503289408,0.5247293249864099,0.5749097466468811,0.46296296296296297,0.9362838864326477,0.4706915318965912,0.5775094032287598,0.9672733545303345,Standard,0.65
CORRELATED_PAIRS,Standard_8,0,8.01594,6.47146,0,0.5025852242778832,0.5126332741192114,0.6223949790000916,0.5185185185185185,0.9435766935348511,0.4786985516548157,0.595034658908844,0.9734365344047546,Standard,0.72
CORRELATED_PAIRS,Standard_9,0,8.04538,4.98699,0,0.4873479416291706,0.4936773638405636,0.6625675559043884,0.5864197530864198,0.9534294009208679,0.481454074382782,0.6039557456970215,0.9796658754348755,Standard,0.8
DAG_RANDOM_WALK,Standard_0,0,8.06293,16.58113,0,0.7054509375,0.8029401400752914,0.9137517809867859,0.9830246913580247,0.27343180775642395,0.8087977766990662,0.37292924523353577,0.978726863861084,Standard,0.15
DAG_RANDOM_WALK,Standard_1,0,8.0518,13.81826,0,0.693978359375,0.7902713972879551,0.9203921556472778,0.9783950617283951,0.31601279973983765,0.8011578321456909,0.41804593801498413,0.9829446077346802,Standard,0.17
DAG_RANDOM_WALK,Standard_10,0,8.05079,6.36964,0,0.526813828125,0.6438938355345698,0.7981646656990051,0.8024691358024691,0.7033618688583374,0.6323067545890808,0.6377241015434265,0.9897174835205078,Standard,0.42
DAG_RANDOM_WALK,Standard_11,0,8.05584,5.50893,0,0.49149375,0.6117487351388128,0.7683842182159424,0.7623456790123457,0.7408004403114319,0.5780499577522278,0.6216872930526733,0.9897131323814392,Standard,0.48
DAG_RANDOM_WALK,Standard_12,0,8.0553,4.67805,0,0.4569809375,0.5815433726279535,0.747270405292511,0.7376543209876543,0.7777140140533447,0.5324181318283081,0.6045861840248108,0.9895931482315063,Standard,0.55
DAG_RANDOM_WALK,Standard_13,0,8.06782,3.8443,0,0.410267265625,0.5400828862579707,0.7257432341575623,0.7067901234567902,0.8250237107276917,0.47298526763916016,0.5743207931518555,0.9892285466194153,Standard,0.65
DAG_RANDOM_WALK,Standard_14,0,8.0674,2.81772,0,0.352173203125,0.48531846965568737,0.7069743275642395,0.6728395061728395,0.8704814910888672,0.39345479011535645,0.515155553817749,0.9895080924034119,Standard,0.8
DAG_RANDOM_WALK,Standard_15,0,8.06353,2.08054,0,0.293976953125,0.436608139985433,0.7593358159065247,0.7608024691358025,0.9109014868736267,0.38143301010131836,0.5174391269683838,0.992212176322937,Standard,1.0
DAG_RANDOM_WALK,Standard_2,0,8.05742,11.74735,0,0.6796953125,0.7773629833095511,0.9243927001953125,0.9830246913580247,0.3627428710460663,0.7964358925819397,0.4630320072174072,0.986140787601471,Standard,0.19
DAG_RANDOM_WALK,Standard_3,0,8.0517,10.62092,0,0.66667140625,0.7664303704430809,0.9205776453018188,0.970679012345679,0.4013991057872772,0.7820718288421631,0.495710551738739,0.9874074459075928,Standard,0.21
DAG_RANDOM_WALK,Standard_4,0,8.06989,9.82552,0,0.650042578125,0.7523579920919239,0.9069204330444336,0.9521604938271605,0.44268563389778137,0.7639382481575012,0.5234489440917969,0.9880242943763733,Standard,0.23
