benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,max_iterations
POWER_LAW_DIGRAPH,MatchingPursuit_7,0,7.96562,8.88755,0,0.8582000294120643,0.7474013624016791,0.9036917090415955,1.0,0.4975837469100952,0.8359021544456482,0.6132524013519287,0.9915828108787537,MatchingPursuit,9
POWER_LAW_DIGRAPH,MatchingPursuit_8,0,7.9368,9.83327,0,0.863162555642705,0.7581562066419905,0.8959590792655945,1.0,0.46161457896232605,0.8467779159545898,0.5853769779205322,0.9902890920639038,MatchingPursuit,10
POWER_LAW_DIGRAPH,MatchingPursuit_9,0,7.9619,10.75107,0,0.8666765282231383,0.7673087211797898,0.8899500370025635,1.0,0.43450653553009033,0.8555390238761902,0.5631974339485168,0.9890469312667847,MatchingPursuit,11
SIMPLICIAL_COMPLEX,MatchingPursuit_0,0,8.0,2.0,0,0.846603203125,0.7090400679658871,0.5442214608192444,0.9907407407407407,0.7868287563323975,0.33168891072273254,0.45985323190689087,0.9941086769104004,MatchingPursuit,2
SIMPLICIAL_COMPLEX,MatchingPursuit_1,0,8.0,2.99947,0,0.865079375,0.7509207074065539,0.7865222692489624,1.0,0.8235499858856201,0.47929251194000244,0.6018434166908264,0.9950674772262573,MatchingPursuit,3
SIMPLICIAL_COMPLEX,MatchingPursuit_2,0,8.0,3.99791,0,0.885256484375,0.783970265932981,0.8493090271949768,1.0,0.8229025602340698,0.6255372166633606,0.7037262320518494,0.995882511138916,MatchingPursuit,4
SIMPLICIAL_COMPLEX,MatchingPursuit_3,0,8.0,4.99644,0,0.898998515625,0.8054210283630586,0.8417582511901855,1.0,0.7633921504020691,0.7183143496513367,0.7298422455787659,0.9958390593528748,MatchingPursuit,5
SIMPLICIAL_COMPLEX,MatchingPursuit_4,0,8.0,5.99245,0,0.908160703125,0.8207912846245596,0.8279830813407898,1.0,0.6987442970275879,0.7749871015548706,0.7194284796714783,0.9952223300933838,MatchingPursuit,6
SIMPLICIAL_COMPLEX,MatchingPursuit_5,0,8.0,6.98001,0,0.91498828125,0.8325986242521676,0.810309886932373,1.0,0.6372359395027161,0.8008935451507568,0.6886382102966309,0.994133472442627,MatchingPursuit,7
SIMPLICIAL_COMPLEX,MatchingPursuit_6,0,8.0,7.9595,0,0.9194221875,0.8406299190399114,0.7952515482902527,0.9969135802469136,0.5839865207672119,0.8175041079521179,0.6559187173843384,0.9928669929504395,MatchingPursuit,8
SIMPLICIAL_COMPLEX,MatchingPursuit_7,0,8.0,8.92273,0,0.92297484375,0.8475100306016192,0.7814949750900269,0.9969135802469136,0.5380739569664001,0.8268545866012573,0.6224769949913025,0.9914935231208801,MatchingPursuit,9
SIMPLICIAL_COMPLEX,MatchingPursuit_8,0,8.0,9.88868,0,0.926449375,0.8543590757473511,0.7747442126274109,0.9907407407407407,0.5039386749267578,0.8347026705741882,0.5973480343818665,0.9901711940765381,MatchingPursuit,10
SIMPLICIAL_COMPLEX,MatchingPursuit_9,0,8.0,10.74937,0,0.928765390625,0.8588573128318819,0.7688865065574646,0.9969135802469136,0.4741365313529968,0.8343002200126648,0.570587694644928,0.9887903332710266,MatchingPursuit,11
SPARSE_UNIFORM,MatchingPursuit_0,0,8.02865,1.99908,0,0.7316735492243527,0.4809634558718048,0.9258258938789368,0.9367283950617284,0.9765975475311279,0.33662229776382446,0.4930329918861389,0.9869738221168518,MatchingPursuit,2
SPARSE_UNIFORM,MatchingPursuit_1,0,8.03176,2.99705,0,0.8080039681349016,0.6067523501589107,0.9465190768241882,0.9398148148148148,0.9324259757995605,0.471075177192688,0.6126740574836731,0.9883963465690613,MatchingPursuit,3
SPARSE_UNIFORM,MatchingPursuit_2,0,8.02549,3.99113,0,0.8515214794525343,0.6890319341990456,0.9618320465087891,0.9537037037037037,0.8837623000144958,0.5905857086181641,0.6911739110946655,0.9888633489608765,MatchingPursuit,4
SPARSE_UNIFORM,MatchingPursuit_3,0,8.04275,4.97851,0,0.8762287490873266,0.7443510034792689,0.9633243083953857,0.9567901234567902,0.8375025391578674,0.681463897228241,0.7295657396316528,0.9895285964012146,MatchingPursuit,5
SPARSE_UNIFORM,MatchingPursuit_4,0,8.0294,5.9397,0,0.8931882226156185,0.778456642081381,0.9536116719245911,0.9444444444444444,0.7997177243232727,0.7334161996841431,0.7386937737464905,0.9891681671142578,MatchingPursuit,6
SPARSE_UNIFORM,MatchingPursuit_5,0,8.00427,6.88294,0,0.8997379814664787,0.7949039275411712,0.9321290850639343,0.933641975308642,0.7271444201469421,0.7573009133338928,0.7050223350524902,0.9874019622802734,MatchingPursuit,7
SPARSE_UNIFORM,MatchingPursuit_6,0,8.02469,7.80624,0,0.908957647800126,0.8124781793698039,0.9251142144203186,0.9475308641975309,0.6741531491279602,0.7865183353424072,0.6850945949554443,0.9887982606887817,MatchingPursuit,8
SPARSE_UNIFORM,MatchingPursuit_7,0,8.04002,8.70959,0,0.9153982852942353,0.8231633771512967,0.9047864675521851,0.9444444444444444,0.6072778105735779,0.796892523765564,0.6375055909156799,0.9872738122940063,MatchingPursuit,9
SPARSE_UNIFORM,MatchingPursuit_8,0,8.02932,9.53139,0,0.919188241993719,0.8312034593201428,0.8947808742523193,0.941358024691358,0.5755279660224915,0.7995389699935913,0.6162382364273071,0.987575113773346,MatchingPursuit,10
SPARSE_UNIFORM,MatchingPursuit_9,0,8.03574,10.3312,0,0.9233402930586118,0.8387674399799355,0.8769740462303162,0.9429012345679012,0.5351288318634033,0.8019982576370239,0.581230878829956,0.9848912358283997,MatchingPursuit,11
SPHERICAL,MatchingPursuit_0,0,8.08018,1.99277,0,0.8692090473235377,0.8088186261933152,0.771097719669342,1.0,0.9476771354675293,0.46454107761383057,0.6173837184906006,0.9964802861213684,MatchingPursuit,2
SPHERICAL,MatchingPursuit_1,0,8.06349,2.97504,0,0.9038723676045202,0.8641983880496479,0.7975663542747498,1.0,0.8871963024139404,0.6475688815116882,0.7433816194534302,0.997244656085968,MatchingPursuit,3
SPHERICAL,MatchingPursuit_2,0,8.04369,3.97373,0,0.9247676003733659,0.8924951105390908,0.8037490248680115,1.0,0.8005679845809937,0.7752376198768616,0.7826829552650452,0.9972941279411316,MatchingPursuit,4
SPHERICAL,MatchingPursuit_3,0,8.05726,4.97563,0,0.9362549551533595,0.9081168005997654,0.801226019859314,1.0,0.7088134288787842,0.8548849821090698,0.770164966583252,0.9967395067214966,MatchingPursuit,5
